name,address,phone_number,reviews_average
Paradise Spa,"
Sherbhawan Building, Chaksibari, Kathmandu 44600","
01-4700755",
healing health home & spa,"
Mubhairav marga, Kathmandu 44600","
01-5199727",
Real Therapy Spa,"
Thameleshwor Mahadev Temple, Lekhnath marga, Thamel Opposite of Saraswati Multiple Campus, Kathmandu 44600","
980-1166651",
Paradise Wellness Spa,"
Unnamed Road, Kathmandu 44600, Kathmandu 44600","
982-3523388",
"Nuad Thai Spa & Wellness, Lazimpat","
Kathmandu 44600","
01-4002808",
Himalayan Healers of Nepal,"
Labim Mall Road, 44600","
981-4145980",
Good Vibes and Relax Mind Spa,"
M8XX+6PC, Kathmandu 44600","
976-8396336",
Lalitpur Spa,"
Kumaripati Road, Lalitpur 44600","
01-5905552",
Kathmandu Spa,"
Bhagwati Marg, Kathmandu 44600","
01-4522661",
Planet Spa Pvt. Ltd,"
26 Keshar Mahal Marg, Kathmandu 44600","
976-7981209",
Kaizah Therapies (formerly Kinjjala Spa),"
Jhamsikhel Road, Lalitpur 44601","
01-5432630",
Himalayan Spa,"
Amrit Marg, Kathmandu 44600","
01-4538943",
