Hospital,City,Province,Description
Annapurna Neuro Hospital,Maitighar,Bagmati,
Anandaban Hospital,"Tika Bhairab, Lele,Lalitpur",Bagmati,Hospital founded byThe Leprosy Missionprovides specialist tertiary leprosy care; also general care and outpatient orthopaedic and dermatology services.
B & B Hospital,"Gwarko,Kathmandu",Bagmati,It is a teaching hospital ofKathmandu University School of Medical Sciences.[8]
Biratnagar Eye Hospital,Biratnagar,Koshi,Established in 2006 at Biratnagar. Second-largest city of Nepal.
Chitwan Medical College,"Bharatpur,Chitwan District",Bagmati,
CIWEC,Kathmandu,Bagmati,
Dhulikhel Hospital,Dhulikhel,Bagmati,
Grande Hospital,"Dhapasi,Kathmandu",Bagmati,
Janaki Medical College,Janakpur,Madhesh,
Kathmandu Cancer Center Hospital,"Tathali Nala Road,Bhaktapur",Bagmati,First private cancer hospital with modern radiotherapy facilities in Nepal. Specialize in cancer surgery and total body radiotherapy for bone marrow transplant.[9]
Purbanchal Cancer Hospital,"Birtamode,Jhapa",Koshi,"It is a tertiary-level cancer care center that provides clinical services insurgical oncology, medical andclinical oncology,radiation oncology,nuclear medicine,diagnostic imaging,rehabilitation, andpalliative care."
Kathmandu Medical College,Sinamangal,Bagmati,
Kirtipur Hospital[10],"Kirtipur, Kathmandu",Bagmati,
Kist Medical College and Teaching Hospital,Imadol,Bagmati,
Kunde Hospital,"Kunde, Solukhumbu",Koshi,
Manipal Teaching Hospital,Pokhara,Gandaki,
Gandaki Medical College,Pokhara,Gandaki,
National Institute of Neurological Applied Science,"Bansbari, Kathmandu",Bagmati,
Nepal Medical Teaching Hospital,"Jorpati, Kathmandu",Bagmati,
Nepal Mediciti Hospital,"Nakhkhu Patan, Karyabinayak",Bagmati,
Nobel Medical College Teaching Hospital,Biratnagar,Koshi,
Norvic Hospital,"Thapathali,Kathmandu",Bagmati,
Om Hospital & Research Centre,"Chabahil,Kathmandu",Bagmati,Hospital with around 100 consultants of different specialists and 500 plus staff.[11]
Siddhasthali Rural Community Hospital,"Ramnagar,Hetauda",Bagmati,"A non-profit hospital established in 2024 providing general medicine, dental, diagnostic, and emergency services to rural communities.[12]"
Siddhartha Children and Women Hospital,"Butwal, Rupandehi",Lumbini,
Vayodha Hospital,"Balkhu,Kathmandu",Bagmati,
HAMS Hospital,Dhumbarahi,Bagmati,
Himal Hospital,Naxal,Bagmati,
Inova Hospital,Lazimpat,Bagmati,
STD Treatment Clinic,Thamel,Bagmati,Nepal First Private Specialized Sexual Health Clinic. Rapid STD testing & Treatment by STD specialist/Venereologist. One of the most Trusted Clinic for Sexual Health Services in Nepal.WWW.STDNEPAL.COM
Binaytara FoundationCancer Center (BTFCC),Janakpur,Madhesh,Cancer Hospital
Saptakoshi Neuro Hospital,"Bhokrahaward no.2, near the banks of Sunsari River,Sunsari District",Koshi,Established in 23 May 2024 near toInaruwa Municipality
B&C Medical College Teaching Hospital and Research Center,"Birtamode,Jhapa",Koshi,"It is one of the largest tertiary care hospitals in eastern Nepal. Located in Birtamode-05,Jhapa District."
