Hospital,Wikipedia URL,City,Province,Description
TU Teaching Hospital,https://en.wikipedia.org/wiki/Tribhuvan_University_Teaching_Hospital,"Maharajganj,Kathmandu",Bagmati,
National Academy of Medical Sciences,https://en.wikipedia.org/wiki/Bir_Hospital,Kathmandu,Bagmati,
Patan Academy of Health Sciences,https://en.wikipedia.org/wiki/Patan_Academy_of_Health_Sciences,Patan,Bagmati,
Karnali Academy of Health Sciences,https://en.wikipedia.org/wiki/Karnali_Academy_of_Health_Sciences,Jumla,Karnali,StartedDoctor of Medicineaka MD course in 2021 AD.[7]
B.P. Koirala Institute of Health Sciences,https://en.wikipedia.org/wiki/B.P._Koirala_Institute_of_Health_Sciences,Dharan,Koshi,
Madan Bhandari Academy of Health Sciences,https://en.wikipedia.org/wiki/Madan_Bhandari_Academy_of_Health_Sciences,Hetauda,Bagmati,
Rapti Academy of Health Sciences,https://en.wikipedia.org/wiki/Rapti_Academy_of_Health_Sciences,Ghorahi,Lumbini,
Nepal Army Institute of Health Science,https://en.wikipedia.org/w/index.php?title=Nepal_Army_Institute_of_Health_Science&action=edit&redlink=1,Bhandarkhal,Bagmati,Medical Institution run byNepal Army
Pokhara Academy of Health Sciences,https://en.wikipedia.org/wiki/Pokhara_Academy_of_Health_Sciences,Pokhara,Gandaki,
Madhesh Institute of Health Sciences,https://en.wikipedia.org/w/index.php?title=Madhesh_Institute_of_Health_Sciences&action=edit&redlink=1,Janakpur,Madhesh,
