Hospital,City,Province,Description
Bir Hospital,Ratnapark,Bagmati,Oldest hospital of Nepal. Established byBir Shumsher Jang Bahadur Ranain 1947 BS (1899 AD).[3]
Patan Hospital,Lagankhel,Bagmati,
Nardevi Ayurvedic Hospital,Naradevi,Bagmati,
Pashupati Homeopathic Hospital,Hariharbhawan,Bagmati,
Unani Aushodhalaya,Hariharbhawan,Bagmati,
Civil Hospital,Baneshwor,Bagmati,"An autonomous government institution under theMinistry of General Administration (MoGA), Nepal"
Shree Birendra Hospital,Chhauni,Bagmati,Military Hospital
Tri Chandra military Hospital,Bhadrakali,Bagmati,Military Hospital
Nepal Police Hospital,Maharajgunj,Bagmati,"Nepal Police Hospital, previously known as theBirendra Police Hospital, is the first hospital of Nepal Police organization"
Nepal APF Hospital,Chandragiri,Bagmati,Operated byAPF
