CompanyName,Address,AddressLang,Phone,Email,Link,province
Arthik Bikas Mitra Saccoss,"Panchakhal,kavre",English,11499046,arthikbrikash061@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/arthik-bikas-mitra-saccoss,Bagmati
Sajjan Mahila Saccos,"Kapan,kathamandu",English,14822770,sajjanmahila@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sajjan-mahila-saccos,Bagmati
Suryamukhi Sanakisan Krishi Sahakari Sastha,Melamchi 1 Bhotechaur Shindhupalchwok,English,16215232,ssfacl.sipa@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/suryamukhi-sanakisan-krishi-sahakari-sastha,Bagmati
Riddhi Siddhi Multipurpose Co-operative Society Ltd.,"Thahiti, Kathmandu",English,15344771,info@riddhisiddhi.com.np,https://www.sahakariakhabar.com/cooperative-directory/riddhi-siddhi-multipurpose-co-operative-society-ltd.,Bagmati
Parimal Saving & Credit Cooperative Ltd.,"Chhetrapati 17, Kathmandu",English,15348663,parimalsavingandcredit@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/parimal-saving-&-credit-cooperative-ltd.,Bagmati
Shree Sapana Tirtha Multipurpose Co-operative ltd,Tokha 2 Kathmandu,English,14562807,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-sapana-tirtha-multipurpose-co-operative-ltd,Bagmati
Tokha Janahit Saving & Credit Cooperative,"Tokha, 3 Kathmandu",English,15110064,tokhajanahit@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/tokha-janahit-saving-&-credit-cooperative,Bagmati
Satkanya Saving & Credi Cooperative Ltd,"Kapan, Kathmandu",English,14823520,satkanyasaving1@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/satkanya-saving-&-credi-cooperative-ltd,Bagmati
Sana Kisan Krishi Sahakari,Kumpur Dhading,English,10690403,kumpursfcal@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sana-kisan-krishi-sahakari,Bagmati
Jiwanpur Sanakisan Krishi Sahakari Sanstha Ltd,Dhunibesi 3 puranodada Dhading,English,9841679409,sanakisanjiwanpur@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/jiwanpur-sanakisan-krishi-sahakari-sanstha-ltd,Bagmati
Sanakisan Krishi Sahakari Sanstha Ltd,Siddhlekh 4 Salang Dhading,English,9851134684,gopalsilwal55@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sanakisan-krishi-sahakari-sanstha-ltd-1,Bagmati
Sanakisan Krishi Sahakari Sanstha Ltd,Jwalamukhi 7 Chainpur Dhading,English,9841579091,purnaaryal2016@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sanakisan-krishi-sahakari-sanstha-ltd,Bagmati
Rural Agriculture Development Cooperative LTd,"Chapagaun, Lalitpur Nepal",English,15265067,radclalitpur@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/rural-agriculture-development-cooperative-ltd,Bagmati
Nepal Udhyami Saving & Credit Cooperative Ltd,"New Baneshwor, Kathmandu",English,15244249,nepaludhyami@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/nepal-udhyami-saving-&-credit-cooperative-ltd,Bagmati
Risheshwor Saving & Creditt Cooperative Ltd,"Solymode, Kathmandu",English,14283010,risheshworsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/risheshwor-saving-&-creditt-cooperative-ltd,Bagmati
Saptadev Saving & Credit Cooperative Ltd.,Budanilakantha 10 Kapan Kathmandu,English,14810542,saptadev@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/saptadev-saving-&-credit-cooperative-ltd.,Bagmati
Om Trigajur multipurpose Cooperarive Ltd,Guheshwori marga 8 Kathmandu,English,15910675,omtrigajurmultipurpose@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/om-trigajur-multipurpose-cooperarive-ltd,Bagmati
Maijubahal Multipurpose Cooperative,Maijubahal 7 Chabahil Kathmandu,English,14562807,maiju64bahal@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/maijubahal-multipurpose-cooperative,Bagmati
Amarjyoti Saving & Credit Cooperative Ltd,suryabinayak 4 Dhadhikot Bhaktapur,English,16630323,amarjyotisaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/amarjyoti-saving-&-credit-cooperative-ltd,Bagmati
Janadhana Saving & Credit Co-operative,Kalimati  Kathmandu,English,14283684,janadhanasaccos2000@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/janadhana-saving-credit-co-operative,Bagmati
Shree Chunne Bhairab Saving & Credir Cooperative Ltd,Kalimati 14 kuleshwor Kathmandu,English,15379793,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-chunne-bhairab-saving-&-credir-cooperative-ltd,Bagmati
Aarjan Saving & Credit Cooperative Ltd,"madhyapur  thimi,-1 Lokanthali, bhaktapur",English,5639133,aarjansacos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aarjan-saving-&-credit-cooperative-ltd,Bagmati
Changathali Saving &Credit Cooperative Ltd.,"Mahalaxmi 7, Changathali, Lalitpur",English,15266026,changathalisaving2018@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/changathali-saving-&credit-cooperative-ltd.,Bagmati
Shree Harit Batika  Saving & Credit Cooperative Ltd.,"kathmandu, chuuchepati",English,15210407,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-harit-batika-saving-&-credit-cooperative-ltd.,Bagmati
Bimarsha Saving & Credit Cooperative Ltd.,kathmandu -7 chabil,English,1556253,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/bimarsha-saving-&-credit-cooperative-ltd.,Bagmati
Thread Multipurpose Cooperative Ltd.,"Mahalaxmi-4, Imadol, lalitpur",English,18201500,info@threadmultipurpose.com,https://www.sahakariakhabar.com/cooperative-directory/thread-multipurpose-cooperative-ltd.,Bagmati
Shree Punarmilan  Multipurpose Cooperative Ltd.,"Mahalaxmi-8, Lubhu, Lalitpur",English,5580567,purnarmilan2042@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-punarmilan-multipurpose-cooperative-ltd.,Bagmati
Gorkha Bikas Saving & Credit Cooperative Ltd,"Banepa-7, Kavrepalanchowk",English,11662831,gorkhab@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/gorkha-bikas-saving-&-credit-cooperative-ltd,Bagmati
Nobel Saving & Credit Co-operative Ltd.,"Banepa-10, Kavrepalanchok",English,11661411,nobelsaccos@gmail.comv,https://www.sahakariakhabar.com/cooperative-directory/nobel-saving-&-credit-co-operative-ltd.,Bagmati
Babira Multipurpose Cooperative Ltd,Kageshwori Manohara 4 mahantar KTM,English,15148016,babiramulticoops@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/babira-multipurpose-cooperative-ltd-1,Bagmati
Dhanraj Multipurpose Cooperative Limited,"Pepsicola, Kathmandu-32",English,15916589,dhanraj.mcl@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/dhanraj-multipurpose-cooperative-limited,Bagmati
Chiranjivi Saving & Credit Cooperative Ltd.,"dharan bazar , sunsari",English,33893067,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/chiranjivi-saving-&-credit-cooperative-ltd.,Koshi
Aathmauja  Saving & Credit Cooperative Ltd.,gairighaj -6 jhapa,English,23412006,aathmauja.cooperative2067@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aathmauja-saving-&-credit-cooperative-ltd.,Koshi
Rochdel Saving & Credit  Cooperative Ltd.,chabil kathmandu,English,14475199,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/rochdel-saving-&-credit-cooperative-ltd.,Bagmati
Shree  Kanchan Saving & Credit Cooperative Ltd.,"kaligandaki -6 ,chap ,syanja",English,9856014270,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-kanchan-saving-&-credit-cooperative-ltd.,Gandaki
Subha Chandra  Surya Saving & Credit Cooperative Ltd.,"Urlabari-4, aaitabare ,Morang",English,21541394,subhachandrasurya7@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/subha-chandra-surya-saving-&-credit-cooperative-ltd.,Koshi
Subhida Saving & Credit Cooperative Ltd.,thimi bhaktapur,English,13425778,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/subhida-saving-&-credit-cooperative-ltd.,Bagmati
Subhechecxa Saving & Credit Cooperative Ltd.,"surya binayak , bhaktapur",English,19823765,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/subhechecxa-saving-&-credit-cooperative-ltd.,Bagmati
Subha Saving & Credit Cooperative Ltd.,sallaghari bhaktapur,English,16610308,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/subha-saving-&-credit-cooperative-ltd.,Bagmati
Kalash Saving & Credit Cooperative Ltd.,madhyapur  thimi -9 bhaktapur,English,16636433,kalash066bode@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kalash-saving-&-credit-cooperative-ltd.,Bagmati
Kharan Saving & Credit Cooperative Ltd.,"ithari , sunsari",English,25582125,khanarsaccos02@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kharan-saving-&-credit-cooperative-ltd.,Koshi
Sharada Saving & Credit Cooperative Ltd.,"Sarada municipality -1,  salyan",English,97788,sharadacoop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sharada-saving-&-credit-cooperative-ltd.,Karnali
Shramjivi Saving & Credit Cooperative Ltd.,sabaula -9 dhanusha,English,41401060,shrmijivisabaila@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/shramjivi-saving-&-credit-cooperative-ltd.,Madhesh
Shital Saving & Credit  Cooperative Ltd.,mahalaxmisthan lalitpur,English,5534683,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shital-saving-&-credit-cooperative-ltd.,Bagmati
Shree Sharadamai Saving & Credit Cooperative Ltd.,"bagbazar, kathmandu",English,15351297,saccossharadamai@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-sharadamai-saving-&-credit-cooperative-ltd.,Bagmati
Orchid Saving & Credit Cooperative Ltd.,"old baneshwor ,kathmandu",English,14474890,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/orchid-saving-&-credit-cooperative-ltd.,Bagmati
Imanual Saving & Credit Cooperative Ltd.,"indrachowk  , kathmandu",English,14243949,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/imanual-saving-&-credit-cooperative-ltd.,Bagmati
United Hands Saving & Credit Cooperative Ltd.,balambu-12 chandragiri kathmandu,English,13414270,unitedhandsbalambu@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/united-hands-saving-&-credit-cooperative-ltd.,Bagmati
Deurali Multipurpose Cooperative Ltd.,"satdobato, Lalitpur Nepal",English,15229720,deuralicooperative.global@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/deurali-multipurpose-cooperative-ltd.,Bagmati
Tarakari Falful Saving & Credit Cooperative Ltd.,"kalimati, kathmandu",English,15123129,tarakariphalfool@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/tarakari-falful-saving-credit-cooperative-ltd,Bagmati
Suvarna Bhumi Saving & Credit Cooperative Ltd.,"dhungedhara , kathmandu",English,14880786,suvarna2064@yahoo.com,https://www.sahakariakhabar.com/cooperative-directory/suvarna-bhumi-saving-&-credit-cooperative-ltd.,Bagmati
Nilo Aakash Saving & Credit Cooperative Ltd.,"gairigaun,kathmandu",English,14481917,niloaakash64@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/nilo-aakash-saving-&-credit-cooperative-ltd.,Bagmati
Shree Siddhichandi Saving & Credit Cooperative Ltd.,kumaripati-19 lalitpur,English,15521341,siddhichandi@hotmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-siddhichandi-saving-&-credit-cooperative-ltd.,Bagmati
Ekikrit Saving & Credit Cooperative Ltd.,"gausala , kathmandu",English,15104101,meronaamkumarshrestha@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/ekikrit-saving-&-credit-cooperative-ltd.,Bagmati
kantipur Saving & Credit Cooperative Ltd.,"gorkha complex ,minbhawan, kathmandu",English,14106550,kantipurcreditcooperativeltd@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kantipur-saving-&-credit-cooperative-ltd.,Bagmati
Pinnacal Saving & Credit Cooperative Ltd.,new road -22 kathmandu,English,15340758,pinnacle428@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/pinnacal-saving-&-credit-cooperative-ltd.,Bagmati
Sugam Saving & Credit Cooperative Ltd.,"jagadol , kathmandu",English,15267079,sugam.email@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sugam-saving-&-credit-cooperative-ltd.,Bagmati
Champawati Saving & Credit Cooperative Ltd.,"gangabu-9 , kathmandu",English,15906224,champawatisaving@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/champawati-saving-&-credit-cooperative-ltd.,Bagmati
Usha Kiran Saving & Credit Cooperative Ltd.,kalanki -14 kathmandu,English,15234436,ushakiran.coop@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/usha-kiran-saving-&-credit-cooperative-ltd.,Bagmati
Sadbhab Multipurpose Cooperative Ltd.,"sankhamul , kathmandu",English,15900144,sadbhab077@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sadbhab-multipurpose-cooperative-ltd.,Bagmati
Sungava Saving & Credit Cooperative ltd.,"ratuwamai-6  sanischare , morang",English,9802706822,sungavasaving@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sungava-saving-&-credit-cooperative-ltd.,Koshi
Trinity Saving & Credit Cooperative Ltd.,balagu kathmandu,English,14986769,saccostrinity23@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/trinity-saving-&-credit-cooperative-ltd.,Bagmati
Chandra Surya Saving & Credit Cooperative Ltd.,lagankhel -12 lalitpur,English,15550631,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/chandra-surya-saving-&-credit-cooperative-ltd.,Bagmati
Narsingha Saving & Credit Cooperative Ltd.,nakabahil-16 lalitpur,English,758473,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/narsingha-saving-&-credit-cooperative-ltd.,Bagmati
Sharad Saving & Credit Cooperative Ltd.,jagati bhaktapur,English,16610548,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/sharad-saving-&-credit-cooperative-ltd.,Bagmati
Kamdhunu Saving & Credit Cooperative Ltd.,"surya binayak ,chitpol  bhaktapur",English,17384883,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/kamdhunu-saving-&-credit-cooperative-ltd.,Bagmati
Creation Saving & Credit Cooperative Ltd.,"kageshwori manohara -9, kadaghari",English,14991557,creationsavingandcreditlimited@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/creation-saving-&-credit-cooperative-ltd.,Bagmati
Gahana  Multipurpose Cooperative Ltd,kajeshwori manahara -9 kathmandu,English,14991024,gahanamultipurpose@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/gahana-multipurpose-cooperative-ltd,Bagmati
Swabalambhi Saving & Credit Cooperative Ltd.,Birendranagar -4 surkhet,English,83522346,s.saccos.skt@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/swabalambhi-saving-&-credit-cooperative-ltd.,Karnali
Akarshan Saving &  Credit Cooperative Ltd.,Anamnagar kathmandu,English,14102528,akarshansoccl@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/akarshan-saving-&-credit-cooperative-ltd.,Bagmati
Kathmandu Chandrigiri  Multipurpose Cooperative Ltd.,"chandrajiri -12  balambhu, kathmandu",English,13414928,kathmanduchandragiri@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/kathmandu-chandrigiri-multipurpose-cooperative-ltd.,Bagmati
Manmuri Agriculture Cooperative Ltd.,"kajeshwori manahara -8  jatthghar , kathmandu",English,15148199,manamurikrishi@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/manmuri-agriculture-cooperative-ltd.,Bagmati
