Hospital,City,Province,Description
Mechi Provincial Hospital,Bhadrapur Municipality-08,Koshi,
Koshi Provincial Hospital,"Biratnagar-10,Morang",Koshi,It is regarded as one of the oldest hospitals of Nepal.
Sagarmatha Provincial Hospital,Rajbiraj,Madhesh,
Gaur Provincial Hospital,Gaur,Madhesh,
Jaleshwor Hospital,"Jaleshwor, Mohattari",Madhesh,
Janakpur Provincial Hospital,Janakpur,Madhesh,
Kalaiya Provincial Hospital,Kalaiya,Madhesh,
Malangwa Provincial Hospital,Malangwa,Madhesh,
Narayani Provincial Hospital,Birgunj,Madhesh,
Siraha Provincial Hospital,Lahan,Madhesh,
Hetauda Provincial Hospital,Hetauda,Bagmati,A 170 bedded
Pokhara Provincial Hospital,Pokhara,Gandaki,
Dhaulagiri Provincial Hospital,Baglung,Gandaki,
Madhyabindu Provincial Hospital,Nawalpur,Gandaki,
Lumbini Provincial Hospital,Butwal,Lumbini,
Rapti Provincial Hospital,"Tulsipur, Dang",Lumbini,Established as a Health post in 2033BS(1976-1977).
Bheri Provincial Hospital,Nepalgunj,Lumbini,Established in 1947BS(1890-1891)
Karnali Provincial Hospital,"Kalagaun,Surkhet",Karnali,
Seti Provincial Hospital,"Dhangadi,Kailali,",Sudurpashchim,
Mahakali Provincial Hospital,"Mahendranagar,Kanchanpur",Sudurpashchim,
