SchoolName,Link,Accreditation,Level,Address
N/A,N/A,N/A,11 - 12,"Balkumari, Mahalaxmi, Lalitpur"
N/A,N/A,N/A,11 - 12,"Kumaripati-10, Lalitpur"
N/A,N/A,N/A,11 - 12,"Kamaladi, Ganeshthan, Kathmandu"
N/A,N/A,N/A,10 - 12,"Mid Baneshwor, Kathmandu"
N/A,N/A,N/A,PG - 12,"Mitrapark, Chabahil, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Gyaneshwor, Kathmandu"
N/A,N/A,N/A,PG - 11,"Sanobharyang-2, Nagarjun, Kathmandu"
N/A,N/A,N/A,11 - 12,"Gyaneshwor, Kathmandu"
N/A,N/A,N/A,11 - 12,"Subarna Shamsher Marg in Baluwatar, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Maligaun, Naxal-1, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Banshidhar Marg, Kathmandu"
N/A,N/A,N/A,N/A,"Banasthali, Kathmandu"
N/A,N/A,N/A,11 - 12,"Lazimpat, Kathmandu"
N/A,N/A,N/A,11 - 12,"Hattisar, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Saraswatinagar, Chabahil, Budhanilakantha, Kathmandu"
N/A,N/A,N/A,1 - 10,"Imadol, Gwarko, Mahalaxmi, Lalitpur"
N/A,N/A,N/A,1 - 10,"Satdobato, Lalitpur"
N/A,N/A,N/A,1 - 10,"Imadol, Shital Height-4, Mahalaxmi, Lalitpur"
N/A,N/A,N/A,11 - 12,"New Baneshwor, Kathmandu"
N/A,N/A,N/A,11 - 12,"Bagbazar, Kathmandu"
N/A,N/A,N/A,11 - 12,"Subarna Shamsher Marg in Baluwatar, Kathmandu"
N/A,N/A,N/A,N/A,"Jawalakhel, Lalitpur"
N/A,N/A,N/A,PG - UKG,"Tulsimarg-37, Ghattekulo, Dillibazar, Kathmandu"
N/A,N/A,N/A,PG - 12,"Balkhu, Kathmandu"
N/A,N/A,N/A,Nursery - 12,"Imadol-4, Mahalaxmi, Lalitpur"
N/A,N/A,N/A,PG - 12,"Dhapasi-6, Tokha, Kathmandu"
