CompanyName,Address,Phone,Email,link
Arthik Bikas Mitra Saccoss,"Panchakhal,kavre",011499046,arthikbrikash061@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/arthik-bikas-mitra-saccoss
Sajjan Mahila Saccos,"Kapan,kathamandu",014822770,sajjanmahila@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sajjan-mahila-saccos
Suryamukhi Sanakisan Krishi Sahakari Sastha,Melamchi 1 Bhotechaur Shindhupalchwok,016215232,ssfacl.sipa@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/suryamukhi-sanakisan-krishi-sahakari-sastha
Riddhi Siddhi Multipurpose Co-operative Society Ltd.,"Thahiti, Kathmandu",015344771,info@riddhisiddhi.com.np,https://www.sahakariakhabar.com/cooperative-directory/riddhi-siddhi-multipurpose-co-operative-society-ltd.
Parimal Saving & Credit Cooperative Ltd.,"Chhetrapati 17, Kathmandu",015348663,parimalsavingandcredit@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/parimal-saving-&-credit-cooperative-ltd.
Shree Sapana Tirtha Multipurpose Co-operative ltd,Tokha 2 Kathmandu,014562807,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-sapana-tirtha-multipurpose-co-operative-ltd
Tokha Janahit Saving & Credit Cooperative,"Tokha, 3 Kathmandu",015110064,tokhajanahit@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/tokha-janahit-saving-&-credit-cooperative
Satkanya Saving & Credi Cooperative Ltd,"Kapan, Kathmandu",014823520,satkanyasaving1@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/satkanya-saving-&-credi-cooperative-ltd
Sana Kisan Krishi Sahakari,Kumpur Dhading,010690403,kumpursfcal@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sana-kisan-krishi-sahakari
Jiwanpur Sanakisan Krishi Sahakari Sanstha Ltd,Dhunibesi 3 puranodada Dhading,9841679409,sanakisanjiwanpur@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/jiwanpur-sanakisan-krishi-sahakari-sanstha-ltd
Sanakisan Krishi Sahakari Sanstha Ltd,Siddhlekh 4 Salang Dhading,9851134684,gopalsilwal55@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sanakisan-krishi-sahakari-sanstha-ltd-1
Sanakisan Krishi Sahakari Sanstha Ltd,Jwalamukhi 7 Chainpur Dhading,9841579091,purnaaryal2016@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/sanakisan-krishi-sahakari-sanstha-ltd
Rural Agriculture Development Cooperative LTd,"Chapagaun, Lalitpur Nepal",015265067,radclalitpur@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/rural-agriculture-development-cooperative-ltd
Nepal Udhyami Saving & Credit Cooperative Ltd,"New Baneshwor, Kathmandu",015244249,nepaludhyami@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/nepal-udhyami-saving-&-credit-cooperative-ltd
Risheshwor Saving & Creditt Cooperative Ltd,"Solymode, Kathmandu",014283010,risheshworsaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/risheshwor-saving-&-creditt-cooperative-ltd
Saptadev Saving & Credit Cooperative Ltd.,Budanilakantha 10 Kapan Kathmandu,014810542,saptadev@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/saptadev-saving-&-credit-cooperative-ltd.
Om Trigajur multipurpose Cooperarive Ltd,Guheshwori marga 8 Kathmandu,015910675,omtrigajurmultipurpose@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/om-trigajur-multipurpose-cooperarive-ltd
Maijubahal Multipurpose Cooperative,Maijubahal 7 Chabahil Kathmandu,014562807,maiju64bahal@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/maijubahal-multipurpose-cooperative
Amarjyoti Saving & Credit Cooperative Ltd,suryabinayak 4 Dhadhikot Bhaktapur,016630323,amarjyotisaccos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/amarjyoti-saving-&-credit-cooperative-ltd
Janadhana Saving & Credit Co-operative,Kalimati  Kathmandu,014283684,janadhanasaccos2000@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/janadhana-saving-credit-co-operative
Shree Chunne Bhairab Saving & Credir Cooperative Ltd,Kalimati 14 kuleshwor Kathmandu,015379793,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-chunne-bhairab-saving-&-credir-cooperative-ltd
Aarjan Saving & Credit Cooperative Ltd,"madhyapur  thimi,-1 Lokanthali, bhaktapur",5639133,aarjansacos@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aarjan-saving-&-credit-cooperative-ltd
Changathali Saving &Credit Cooperative Ltd.,"Mahalaxmi 7, Changathali, Lalitpur",015266026,changathalisaving2018@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/changathali-saving-&credit-cooperative-ltd.
Shree Harit Batika  Saving & Credit Cooperative Ltd.,"kathmandu, chuuchepati",015210407,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/shree-harit-batika-saving-&-credit-cooperative-ltd.
Bimarsha Saving & Credit Cooperative Ltd.,kathmandu -7 chabil,01556253,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/bimarsha-saving-&-credit-cooperative-ltd.
Thread Multipurpose Cooperative Ltd.,"Mahalaxmi-4, Imadol, lalitpur",018201500,info@threadmultipurpose.com,https://www.sahakariakhabar.com/cooperative-directory/thread-multipurpose-cooperative-ltd.
Shree Punarmilan  Multipurpose Cooperative Ltd.,"Mahalaxmi-8, Lubhu, Lalitpur",5580567,purnarmilan2042@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/shree-punarmilan-multipurpose-cooperative-ltd.
Gorkha Bikas Saving & Credit Cooperative Ltd,"Banepa-7, Kavrepalanchowk",011662831,gorkhab@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/gorkha-bikas-saving-&-credit-cooperative-ltd
Nobel Saving & Credit Co-operative Ltd.,"Banepa-10, Kavrepalanchok",011661411,nobelsaccos@gmail.comv,https://www.sahakariakhabar.com/cooperative-directory/nobel-saving-&-credit-co-operative-ltd.
Babira Multipurpose Cooperative Ltd,Kageshwori Manohara 4 mahantar KTM,015148016,babiramulticoops@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/babira-multipurpose-cooperative-ltd-1
Dhanraj Multipurpose Cooperative Limited,"Pepsicola, Kathmandu-32",015916589,dhanraj.mcl@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/dhanraj-multipurpose-cooperative-limited
Chiranjivi Saving & Credit Cooperative Ltd.,"dharan bazar , sunsari",033893067,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/chiranjivi-saving-&-credit-cooperative-ltd.
Aathmauja  Saving & Credit Cooperative Ltd.,gairighaj -6 jhapa,023412006,aathmauja.cooperative2067@gmail.com,https://www.sahakariakhabar.com/cooperative-directory/aathmauja-saving-&-credit-cooperative-ltd.
Rochdel Saving & Credit  Cooperative Ltd.,chabil kathmandu,014475199,info@sahakariakhabar.com,https://www.sahakariakhabar.com/cooperative-directory/rochdel-saving-&-credit-cooperative-ltd.
