SchoolName,Link,Accreditation,Level,Address,Phone,Email
KMC Lalitpur,https://edusanjal.com/school/kmc-balkumari/,National Examinations Board,11 - 12,"Balkumari-2, Mahalaxmi, Lalitpur","01-5201331, 01-5201334",kmsslalitpur@gmail.com
United Academy,https://edusanjal.com/school/united-academy/,National Examinations Board,11 - 12,"Kumaripati-10, Lalitpur",01-5437530 | 01-5438938,info@united.edu.np
Uniglobe Secondary School,https://edusanjal.com/school/uniglobe-higher-secondary-school/,National Examinations Board,11 - 12,"Ganeshthan, Kamaladi-28, Kathmandu","01-5321875, 01-5351409",anilpantha51@uniglobecollege.edu.np
Global School of Science,https://edusanjal.com/school/global-school-science/,National Examinations Board,10 - 12,"Mid Baneshwor-31, Kathmandu",01-5970317,science@globalcollege.edu.np
Texas International Secondary School,https://edusanjal.com/school/texas-international-secondary-school/,National Examinations Board,PG - 12,"Mitrapark, Chabahil-7, Kathmandu","01-4579017, 1-4490670, 01-4488627",enquiry@texasintl.edu.np
Galaxy Public School,https://edusanjal.com/school/galaxy-public-school/,National Examinations Board,Nursery - 12,"Gyaneshwor-30, Kathmandu","01-4535188, 9841232529",info@galaxyhss.edu.np
Swostishree Gurukul IB Continuum School,https://edusanjal.com/school/swostishree-gurukul/,International Baccalaureate,PG - 12,"Sanobharyang-2, Nagarjun, Kathmandu","01-4890314, 01-4890316",info@swostishreegurukul.edu.np
IST Secondary School,https://edusanjal.com/school/ist-secondary-school/,National Examinations Board,11 - 12,"Gyaneshwor-30, Kathmandu","01-4534350, 01-4534185",sanindra@ist.org.np
Malpi Plus Two,https://edusanjal.com/school/malpi-plus-two/,National Examinations Board,11 - 12,"Subarna Shamsher Marg, Baluwatar-1, Kathmandu",01-4542069 | 01-4442066 | 01-4442067 | 01-4442068,plustwo@malpiins.edu.np
Brihaspati Vidyasadan,https://edusanjal.com/school/brihaspati-vidya-sadan/,National Examinations Board,Nursery - 12,"Maligaun, Naxal-1, Kathmandu","01-4518030,  01-4518031,  01-4519878",info@bvs.edu.np
​National Creative Co-educational School (NCCS),https://edusanjal.com/school/national-creative-co-educational-school/,National Examinations Board,Nursery - 12,"Banshidhar Marg, Chandol-4, Kathmandu",4532647 | 4532649 | 4538062,info@nccs.edu.np
Xavier Academy,https://edusanjal.com/school/xavier-academy/,National Examinations Board,11 - 12,"Lazimpat-2, Kathmandu","01-4430025, 01-4424289",info@xa.edu.np
School of Medical Sciences,https://edusanjal.com/school/school-medical-science/,CTEVT,N/A,"Banasthali, Kathmandu","01-5904023, 01-5904785",smscollege2004@gmail.com
